,Id,ActivityDay,StepTotal
0,1503960366,4/12/2016,13162
1,1503960366,4/13/2016,10735
2,1503960366,4/14/2016,10460
3,1503960366,4/15/2016,9762
4,1503960366,4/16/2016,12669
5,1503960366,4/17/2016,9705
6,1503960366,4/18/2016,13019
7,1503960366,4/19/2016,15506
8,1503960366,4/20/2016,10544
9,1503960366,4/21/2016,9819
10,1503960366,4/22/2016,12764
11,1503960366,4/23/2016,14371
12,1503960366,4/24/2016,10039
13,1503960366,4/25/2016,15355
14,1503960366,4/26/2016,13755
15,1503960366,4/27/2016,18134
16,1503960366,4/28/2016,13154
17,1503960366,4/29/2016,11181
18,1503960366,4/30/2016,14673
19,1503960366,5/1/2016,10602
20,1503960366,5/2/2016,14727
21,1503960366,5/3/2016,15103
22,1503960366,5/4/2016,11100
23,1503960366,5/5/2016,14070
24,1503960366,5/6/2016,12159
25,1503960366,5/7/2016,11992
26,1503960366,5/8/2016,10060
27,1503960366,5/9/2016,12022
28,1503960366,5/10/2016,12207
29,1503960366,5/11/2016,12770
31,1624580081,4/12/2016,8163
32,1624580081,4/13/2016,7007
33,1624580081,4/14/2016,9107
34,1624580081,4/15/2016,1510
35,1624580081,4/16/2016,5370
36,1624580081,4/17/2016,6175
37,1624580081,4/18/2016,10536
38,1624580081,4/19/2016,2916
39,1624580081,4/20/2016,4974
40,1624580081,4/21/2016,6349
41,1624580081,4/22/2016,4026
42,1624580081,4/23/2016,8538
43,1624580081,4/24/2016,6076
44,1624580081,4/25/2016,6497
45,1624580081,4/26/2016,2826
46,1624580081,4/27/2016,8367
47,1624580081,4/28/2016,2759
48,1624580081,4/29/2016,2390
49,1624580081,4/30/2016,6474
51,1624580081,5/2/2016,7155
52,1624580081,5/3/2016,2100
53,1624580081,5/4/2016,2193
54,1624580081,5/5/2016,2470
55,1624580081,5/6/2016,1727
56,1624580081,5/7/2016,2104
57,1624580081,5/8/2016,3427
58,1624580081,5/9/2016,1732
59,1624580081,5/10/2016,2969
60,1624580081,5/11/2016,3134
61,1624580081,5/12/2016,2971
62,1644430081,4/12/2016,10694
63,1644430081,4/13/2016,8001
64,1644430081,4/14/2016,11037
65,1644430081,4/15/2016,5263
66,1644430081,4/16/2016,15300
67,1644430081,4/17/2016,8757
68,1644430081,4/18/2016,7132
69,1644430081,4/19/2016,11256
70,1644430081,4/20/2016,2436
71,1644430081,4/21/2016,1223
72,1644430081,4/22/2016,3673
73,1644430081,4/23/2016,6637
74,1644430081,4/24/2016,3321
75,1644430081,4/25/2016,3580
76,1644430081,4/26/2016,9919
77,1644430081,4/27/2016,3032
78,1644430081,4/28/2016,9405
