,Id,ActivityHour,TotalIntensity,AverageIntensity
0,1503960366,4/12/2016 12:00:00 AM,20,0.333333
1,1503960366,4/12/2016 1:00:00 AM,8,0.133333
2,1503960366,4/12/2016 2:00:00 AM,7,0.116667
8,1503960366,4/12/2016 8:00:00 AM,13,0.216667
9,1503960366,4/12/2016 9:00:00 AM,30,0.5
10,1503960366,4/12/2016 10:00:00 AM,29,0.483333
11,1503960366,4/12/2016 11:00:00 AM,12,0.2
12,1503960366,4/12/2016 12:00:00 PM,11,0.183333
13,1503960366,4/12/2016 1:00:00 PM,6,0.1
14,1503960366,4/12/2016 2:00:00 PM,36,0.6
15,1503960366,4/12/2016 3:00:00 PM,58,0.966667
16,1503960366,4/12/2016 4:00:00 PM,13,0.216667
17,1503960366,4/12/2016 5:00:00 PM,16,0.266667
18,1503960366,4/12/2016 6:00:00 PM,29,0.483333
19,1503960366,4/12/2016 7:00:00 PM,39,0.65
20,1503960366,4/12/2016 8:00:00 PM,41,0.683333
21,1503960366,4/12/2016 9:00:00 PM,31,0.516667
22,1503960366,4/12/2016 10:00:00 PM,9,0.15
23,1503960366,4/12/2016 11:00:00 PM,21,0.35
24,1503960366,4/13/2016 12:00:00 AM,14,0.233333
27,1503960366,4/13/2016 3:00:00 AM,4,0.066667
31,1503960366,4/13/2016 7:00:00 AM,8,0.133333
32,1503960366,4/13/2016 8:00:00 AM,12,0.2
33,1503960366,4/13/2016 9:00:00 AM,27,0.45
34,1503960366,4/13/2016 10:00:00 AM,15,0.25
35,1503960366,4/13/2016 11:00:00 AM,16,0.266667
36,1503960366,4/13/2016 12:00:00 PM,15,0.25
37,1503960366,4/13/2016 1:00:00 PM,10,0.166667
38,1503960366,4/13/2016 2:00:00 PM,46,0.766667
39,1503960366,4/13/2016 3:00:00 PM,13,0.216667
40,1503960366,4/13/2016 4:00:00 PM,10,0.166667
41,1503960366,4/13/2016 5:00:00 PM,23,0.383333
42,1503960366,4/13/2016 6:00:00 PM,25,0.416667
43,1503960366,4/13/2016 7:00:00 PM,13,0.216667
46,1503960366,4/13/2016 10:00:00 PM,11,0.183333
47,1503960366,4/13/2016 11:00:00 PM,56,0.933333
48,1503960366,4/14/2016 12:00:00 AM,4,0.066667
49,1503960366,4/14/2016 1:00:00 AM,3,0.05
57,1503960366,4/14/2016 9:00:00 AM,14,0.233333
58,1503960366,4/14/2016 10:00:00 AM,23,0.383333
59,1503960366,4/14/2016 11:00:00 AM,7,0.116667
60,1503960366,4/14/2016 12:00:00 PM,18,0.3
61,1503960366,4/14/2016 1:00:00 PM,54,0.9
62,1503960366,4/14/2016 2:00:00 PM,22,0.366667
63,1503960366,4/14/2016 3:00:00 PM,7,0.116667
64,1503960366,4/14/2016 4:00:00 PM,25,0.416667
65,1503960366,4/14/2016 5:00:00 PM,5,0.083333
66,1503960366,4/14/2016 6:00:00 PM,12,0.2
67,1503960366,4/14/2016 7:00:00 PM,1,0.016667
68,1503960366,4/14/2016 8:00:00 PM,24,0.4
69,1503960366,4/14/2016 9:00:00 PM,57,0.95
70,1503960366,4/14/2016 10:00:00 PM,17,0.283333
72,1503960366,4/15/2016 12:00:00 AM,6,0.1
73,1503960366,4/15/2016 1:00:00 AM,5,0.083333
74,1503960366,4/15/2016 2:00:00 AM,7,0.116667
77,1503960366,4/15/2016 5:00:00 AM,1,0.016667
79,1503960366,4/15/2016 7:00:00 AM,1,0.016667
80,1503960366,4/15/2016 8:00:00 AM,5,0.083333
81,1503960366,4/15/2016 9:00:00 AM,2,0.033333
82,1503960366,4/15/2016 10:00:00 AM,8,0.133333
83,1503960366,4/15/2016 11:00:00 AM,23,0.383333
84,1503960366,4/15/2016 12:00:00 PM,13,0.216667
85,1503960366,4/15/2016 1:00:00 PM,9,0.15
89,1503960366,4/15/2016 5:00:00 PM,47,0.783333
90,1503960366,4/15/2016 6:00:00 PM,22,0.366667
91,1503960366,4/15/2016 7:00:00 PM,32,0.533333
92,1503960366,4/15/2016 8:00:00 PM,8,0.133333
93,1503960366,4/15/2016 9:00:00 PM,14,0.233333
94,1503960366,4/15/2016 10:00:00 PM,66,1.1
96,1503960366,4/16/2016 12:00:00 AM,15,0.25
98,1503960366,4/16/2016 2:00:00 AM,3,0.05
99,1503960366,4/16/2016 3:00:00 AM,1,0.016667
100,1503960366,4/16/2016 4:00:00 AM,1,0.016667
101,1503960366,4/16/2016 5:00:00 AM,1,0.016667
103,1503960366,4/16/2016 7:00:00 AM,4,0.066667
104,1503960366,4/16/2016 8:00:00 AM,9,0.15
105,1503960366,4/16/2016 9:00:00 AM,38,0.633333
106,1503960366,4/16/2016 10:00:00 AM,14,0.233333
107,1503960366,4/16/2016 11:00:00 AM,30,0.5
108,1503960366,4/16/2016 12:00:00 PM,42,0.7
109,1503960366,4/16/2016 1:00:00 PM,90,1.5
110,1503960366,4/16/2016 2:00:00 PM,20,0.333333
112,1503960366,4/16/2016 4:00:00 PM,2,0.033333
113,1503960366,4/16/2016 5:00:00 PM,17,0.283333
114,1503960366,4/16/2016 6:00:00 PM,10,0.166667
115,1503960366,4/16/2016 7:00:00 PM,12,0.2
116,1503960366,4/16/2016 8:00:00 PM,19,0.316667
117,1503960366,4/16/2016 9:00:00 PM,13,0.216667
118,1503960366,4/16/2016 10:00:00 PM,3,0.05
119,1503960366,4/16/2016 11:00:00 PM,5,0.083333
123,1503960366,4/17/2016 3:00:00 AM,1,0.016667
131,1503960366,4/17/2016 11:00:00 AM,9,0.15
132,1503960366,4/17/2016 12:00:00 PM,18,0.3
133,1503960366,4/17/2016 1:00:00 PM,23,0.383333
134,1503960366,4/17/2016 2:00:00 PM,10,0.166667
135,1503960366,4/17/2016 3:00:00 PM,13,0.216667
136,1503960366,4/17/2016 4:00:00 PM,2,0.033333
137,1503960366,4/17/2016 5:00:00 PM,71,1.183333
138,1503960366,4/17/2016 6:00:00 PM,39,0.65
139,1503960366,4/17/2016 7:00:00 PM,24,0.4
140,1503960366,4/17/2016 8:00:00 PM,87,1.45
141,1503960366,4/17/2016 9:00:00 PM,16,0.266667
142,1503960366,4/17/2016 10:00:00 PM,5,0.083333
144,1503960366,4/18/2016 12:00:00 AM,21,0.35
153,1503960366,4/18/2016 9:00:00 AM,39,0.65
154,1503960366,4/18/2016 10:00:00 AM,17,0.283333
155,1503960366,4/18/2016 11:00:00 AM,15,0.25
156,1503960366,4/18/2016 12:00:00 PM,40,0.666667
157,1503960366,4/18/2016 1:00:00 PM,9,0.15
158,1503960366,4/18/2016 2:00:00 PM,7,0.116667
159,1503960366,4/18/2016 3:00:00 PM,14,0.233333
160,1503960366,4/18/2016 4:00:00 PM,17,0.283333
161,1503960366,4/18/2016 5:00:00 PM,18,0.3
163,1503960366,4/18/2016 7:00:00 PM,30,0.5
