,Id,ActivityHour,StepTotal
0,1503960366,4/12/2016 12:00:00 AM,373
1,1503960366,4/12/2016 1:00:00 AM,160
2,1503960366,4/12/2016 2:00:00 AM,151
8,1503960366,4/12/2016 8:00:00 AM,250
9,1503960366,4/12/2016 9:00:00 AM,1864
10,1503960366,4/12/2016 10:00:00 AM,676
11,1503960366,4/12/2016 11:00:00 AM,360
12,1503960366,4/12/2016 12:00:00 PM,253
13,1503960366,4/12/2016 1:00:00 PM,221
14,1503960366,4/12/2016 2:00:00 PM,1166
15,1503960366,4/12/2016 3:00:00 PM,2063
16,1503960366,4/12/2016 4:00:00 PM,344
17,1503960366,4/12/2016 5:00:00 PM,489
18,1503960366,4/12/2016 6:00:00 PM,1386
19,1503960366,4/12/2016 7:00:00 PM,558
20,1503960366,4/12/2016 8:00:00 PM,1733
21,1503960366,4/12/2016 9:00:00 PM,684
22,1503960366,4/12/2016 10:00:00 PM,89
23,1503960366,4/12/2016 11:00:00 PM,338
24,1503960366,4/13/2016 12:00:00 AM,144
27,1503960366,4/13/2016 3:00:00 AM,36
31,1503960366,4/13/2016 7:00:00 AM,126
32,1503960366,4/13/2016 8:00:00 AM,275
33,1503960366,4/13/2016 9:00:00 AM,1679
34,1503960366,4/13/2016 10:00:00 AM,295
35,1503960366,4/13/2016 11:00:00 AM,524
36,1503960366,4/13/2016 12:00:00 PM,486
37,1503960366,4/13/2016 1:00:00 PM,302
38,1503960366,4/13/2016 2:00:00 PM,1577
39,1503960366,4/13/2016 3:00:00 PM,493
40,1503960366,4/13/2016 4:00:00 PM,299
41,1503960366,4/13/2016 5:00:00 PM,695
42,1503960366,4/13/2016 6:00:00 PM,1343
43,1503960366,4/13/2016 7:00:00 PM,258
46,1503960366,4/13/2016 10:00:00 PM,437
47,1503960366,4/13/2016 11:00:00 PM,1766
48,1503960366,4/14/2016 12:00:00 AM,81
49,1503960366,4/14/2016 1:00:00 AM,58
57,1503960366,4/14/2016 9:00:00 AM,902
58,1503960366,4/14/2016 10:00:00 AM,1106
59,1503960366,4/14/2016 11:00:00 AM,50
60,1503960366,4/14/2016 12:00:00 PM,501
61,1503960366,4/14/2016 1:00:00 PM,1779
62,1503960366,4/14/2016 2:00:00 PM,1228
63,1503960366,4/14/2016 3:00:00 PM,139
64,1503960366,4/14/2016 4:00:00 PM,408
65,1503960366,4/14/2016 5:00:00 PM,37
66,1503960366,4/14/2016 6:00:00 PM,322
67,1503960366,4/14/2016 7:00:00 PM,11
68,1503960366,4/14/2016 8:00:00 PM,806
69,1503960366,4/14/2016 9:00:00 PM,2670
70,1503960366,4/14/2016 10:00:00 PM,362
72,1503960366,4/15/2016 12:00:00 AM,83
73,1503960366,4/15/2016 1:00:00 AM,75
74,1503960366,4/15/2016 2:00:00 AM,124
77,1503960366,4/15/2016 5:00:00 AM,26
79,1503960366,4/15/2016 7:00:00 AM,7
80,1503960366,4/15/2016 8:00:00 AM,55
81,1503960366,4/15/2016 9:00:00 AM,21
82,1503960366,4/15/2016 10:00:00 AM,154
83,1503960366,4/15/2016 11:00:00 AM,425
84,1503960366,4/15/2016 12:00:00 PM,270
85,1503960366,4/15/2016 1:00:00 PM,373
89,1503960366,4/15/2016 5:00:00 PM,1774
90,1503960366,4/15/2016 6:00:00 PM,509
91,1503960366,4/15/2016 7:00:00 PM,519
92,1503960366,4/15/2016 8:00:00 PM,77
93,1503960366,4/15/2016 9:00:00 PM,280
94,1503960366,4/15/2016 10:00:00 PM,2145
95,1503960366,4/15/2016 11:00:00 PM,2768
96,1503960366,4/16/2016 12:00:00 AM,459
98,1503960366,4/16/2016 2:00:00 AM,63
99,1503960366,4/16/2016 3:00:00 AM,6
100,1503960366,4/16/2016 4:00:00 AM,6
101,1503960366,4/16/2016 5:00:00 AM,12
103,1503960366,4/16/2016 7:00:00 AM,101
104,1503960366,4/16/2016 8:00:00 AM,175
105,1503960366,4/16/2016 9:00:00 AM,1181
106,1503960366,4/16/2016 10:00:00 AM,1295
107,1503960366,4/16/2016 11:00:00 AM,2043
108,1503960366,4/16/2016 12:00:00 PM,1513
110,1503960366,4/16/2016 2:00:00 PM,580
112,1503960366,4/16/2016 4:00:00 PM,15
113,1503960366,4/16/2016 5:00:00 PM,380
114,1503960366,4/16/2016 6:00:00 PM,96
115,1503960366,4/16/2016 7:00:00 PM,146
116,1503960366,4/16/2016 8:00:00 PM,385
117,1503960366,4/16/2016 9:00:00 PM,463
118,1503960366,4/16/2016 10:00:00 PM,42
119,1503960366,4/16/2016 11:00:00 PM,92
123,1503960366,4/17/2016 3:00:00 AM,8
131,1503960366,4/17/2016 11:00:00 AM,84
132,1503960366,4/17/2016 12:00:00 PM,260
133,1503960366,4/17/2016 1:00:00 PM,402
134,1503960366,4/17/2016 2:00:00 PM,252
135,1503960366,4/17/2016 3:00:00 PM,191
136,1503960366,4/17/2016 4:00:00 PM,13
137,1503960366,4/17/2016 5:00:00 PM,2613
138,1503960366,4/17/2016 6:00:00 PM,1616
139,1503960366,4/17/2016 7:00:00 PM,754
140,1503960366,4/17/2016 8:00:00 PM,2955
141,1503960366,4/17/2016 9:00:00 PM,487
142,1503960366,4/17/2016 10:00:00 PM,70
144,1503960366,4/18/2016 12:00:00 AM,416
153,1503960366,4/18/2016 9:00:00 AM,1688
154,1503960366,4/18/2016 10:00:00 AM,380
155,1503960366,4/18/2016 11:00:00 AM,328
156,1503960366,4/18/2016 12:00:00 PM,1306
157,1503960366,4/18/2016 1:00:00 PM,268
158,1503960366,4/18/2016 2:00:00 PM,137
159,1503960366,4/18/2016 3:00:00 PM,495
160,1503960366,4/18/2016 4:00:00 PM,277
161,1503960366,4/18/2016 5:00:00 PM,304
163,1503960366,4/18/2016 7:00:00 PM,2101
164,1503960366,4/18/2016 8:00:00 PM,28
165,1503960366,4/18/2016 9:00:00 PM,187
166,1503960366,4/18/2016 10:00:00 PM,542
167,1503960366,4/18/2016 11:00:00 PM,488
169,1503960366,4/19/2016 1:00:00 AM,22
