,Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
0,1503960366,4/12/2016 12:00:00 AM,1,327,346
1,1503960366,4/13/2016 12:00:00 AM,2,384,407
2,1503960366,4/15/2016 12:00:00 AM,1,412,442
3,1503960366,4/16/2016 12:00:00 AM,2,340,367
4,1503960366,4/17/2016 12:00:00 AM,1,700,712
5,1503960366,4/19/2016 12:00:00 AM,1,304,320
6,1503960366,4/20/2016 12:00:00 AM,1,360,377
7,1503960366,4/21/2016 12:00:00 AM,1,325,364
8,1503960366,4/23/2016 12:00:00 AM,1,361,384
9,1503960366,4/24/2016 12:00:00 AM,1,430,449
10,1503960366,4/25/2016 12:00:00 AM,1,277,323
11,1503960366,4/26/2016 12:00:00 AM,1,245,274
12,1503960366,4/28/2016 12:00:00 AM,1,366,393
13,1503960366,4/29/2016 12:00:00 AM,1,341,354
14,1503960366,4/30/2016 12:00:00 AM,1,404,425
15,1503960366,5/1/2016 12:00:00 AM,1,369,396
16,1503960366,5/2/2016 12:00:00 AM,1,277,309
17,1503960366,5/3/2016 12:00:00 AM,1,273,296
18,1503960366,5/5/2016 12:00:00 AM,1,247,264
19,1503960366,5/6/2016 12:00:00 AM,1,334,367
20,1503960366,5/7/2016 12:00:00 AM,1,331,349
21,1503960366,5/8/2016 12:00:00 AM,1,594,611
22,1503960366,5/9/2016 12:00:00 AM,1,338,342
23,1503960366,5/10/2016 12:00:00 AM,1,383,403
24,1503960366,5/11/2016 12:00:00 AM,1,285,306
25,1644430081,4/29/2016 12:00:00 AM,1,119,127
26,1644430081,4/30/2016 12:00:00 AM,1,124,142
28,1644430081,5/8/2016 12:00:00 AM,1,137,154
29,1844505072,4/15/2016 12:00:00 AM,1,644,961
30,1844505072,4/30/2016 12:00:00 AM,1,722,961
31,1844505072,5/1/2016 12:00:00 AM,1,590,961
32,1927972279,4/12/2016 12:00:00 AM,3,750,775
33,1927972279,4/13/2016 12:00:00 AM,1,398,422
34,1927972279,4/15/2016 12:00:00 AM,2,475,499
35,1927972279,4/26/2016 12:00:00 AM,1,296,315
36,1927972279,4/28/2016 12:00:00 AM,1,166,178
37,2026352035,4/12/2016 12:00:00 AM,1,503,546
38,2026352035,4/13/2016 12:00:00 AM,1,531,565
39,2026352035,4/14/2016 12:00:00 AM,1,545,568
40,2026352035,4/15/2016 12:00:00 AM,1,523,573
41,2026352035,4/16/2016 12:00:00 AM,1,524,567
42,2026352035,4/17/2016 12:00:00 AM,1,437,498
43,2026352035,4/19/2016 12:00:00 AM,1,498,540
44,2026352035,4/20/2016 12:00:00 AM,1,461,510
45,2026352035,4/21/2016 12:00:00 AM,1,477,514
46,2026352035,4/22/2016 12:00:00 AM,1,520,545
47,2026352035,4/23/2016 12:00:00 AM,1,522,554
48,2026352035,4/24/2016 12:00:00 AM,1,555,591
49,2026352035,4/25/2016 12:00:00 AM,1,506,531
50,2026352035,4/27/2016 12:00:00 AM,1,508,545
51,2026352035,4/28/2016 12:00:00 AM,1,513,545
52,2026352035,4/29/2016 12:00:00 AM,1,490,510
53,2026352035,4/30/2016 12:00:00 AM,1,573,607
54,2026352035,5/1/2016 12:00:00 AM,1,527,546
55,2026352035,5/2/2016 12:00:00 AM,1,511,543
56,2026352035,5/4/2016 12:00:00 AM,1,538,560
57,2026352035,5/5/2016 12:00:00 AM,1,468,485
58,2026352035,5/6/2016 12:00:00 AM,1,524,548
59,2026352035,5/7/2016 12:00:00 AM,1,511,521
60,2026352035,5/8/2016 12:00:00 AM,1,541,568
61,2026352035,5/9/2016 12:00:00 AM,1,531,556
62,2026352035,5/10/2016 12:00:00 AM,1,357,380
63,2026352035,5/11/2016 12:00:00 AM,1,523,553
64,2026352035,5/12/2016 12:00:00 AM,1,456,485
66,2347167796,4/13/2016 12:00:00 AM,1,467,531
67,2347167796,4/14/2016 12:00:00 AM,1,445,489
68,2347167796,4/15/2016 12:00:00 AM,1,452,504
69,2347167796,4/17/2016 12:00:00 AM,1,556,602
70,2347167796,4/18/2016 12:00:00 AM,1,500,557
71,2347167796,4/19/2016 12:00:00 AM,1,465,514
72,2347167796,4/21/2016 12:00:00 AM,1,460,484
73,2347167796,4/22/2016 12:00:00 AM,1,405,461
74,2347167796,4/23/2016 12:00:00 AM,1,374,386
75,2347167796,4/24/2016 12:00:00 AM,1,442,459
76,2347167796,4/25/2016 12:00:00 AM,1,433,471
77,2347167796,4/26/2016 12:00:00 AM,1,436,490
78,2347167796,4/27/2016 12:00:00 AM,1,448,499
79,2347167796,4/28/2016 12:00:00 AM,1,408,450
80,2347167796,4/29/2016 12:00:00 AM,1,411,473
81,3977333714,4/12/2016 12:00:00 AM,1,274,469
82,3977333714,4/13/2016 12:00:00 AM,2,295,456
83,3977333714,4/14/2016 12:00:00 AM,1,291,397
84,3977333714,4/15/2016 12:00:00 AM,1,424,556
85,3977333714,4/16/2016 12:00:00 AM,1,283,510
86,3977333714,4/17/2016 12:00:00 AM,1,381,566
87,3977333714,4/18/2016 12:00:00 AM,2,412,522
88,3977333714,4/19/2016 12:00:00 AM,1,219,395
89,3977333714,4/20/2016 12:00:00 AM,2,152,305
90,3977333714,4/21/2016 12:00:00 AM,1,332,512
91,3977333714,4/22/2016 12:00:00 AM,1,355,476
92,3977333714,4/23/2016 12:00:00 AM,1,235,372
93,3977333714,4/24/2016 12:00:00 AM,1,310,526
94,3977333714,4/25/2016 12:00:00 AM,1,262,467
95,3977333714,4/26/2016 12:00:00 AM,1,250,371
96,3977333714,4/27/2016 12:00:00 AM,1,349,540
97,3977333714,4/28/2016 12:00:00 AM,1,261,423
98,3977333714,4/29/2016 12:00:00 AM,1,333,478
99,3977333714,4/30/2016 12:00:00 AM,1,237,382
100,3977333714,5/1/2016 12:00:00 AM,1,383,626
101,3977333714,5/2/2016 12:00:00 AM,1,230,384
102,3977333714,5/3/2016 12:00:00 AM,1,292,500
103,3977333714,5/4/2016 12:00:00 AM,1,213,336
104,3977333714,5/5/2016 12:00:00 AM,1,318,480
105,3977333714,5/6/2016 12:00:00 AM,1,323,512
106,3977333714,5/7/2016 12:00:00 AM,1,237,443
107,3977333714,5/8/2016 12:00:00 AM,2,259,456
108,3977333714,5/10/2016 12:00:00 AM,1,312,452
109,4020332650,4/12/2016 12:00:00 AM,1,501,541
110,4020332650,4/16/2016 12:00:00 AM,1,77,77
111,4020332650,5/3/2016 12:00:00 AM,1,322,332
112,4020332650,5/4/2016 12:00:00 AM,1,478,536
113,4020332650,5/5/2016 12:00:00 AM,1,226,248
114,4020332650,5/6/2016 12:00:00 AM,1,385,408
115,4020332650,5/8/2016 12:00:00 AM,1,364,402
116,4020332650,5/10/2016 12:00:00 AM,1,442,494
117,4319703577,4/14/2016 12:00:00 AM,1,535,557
118,4319703577,4/15/2016 12:00:00 AM,1,465,491
119,4319703577,4/16/2016 12:00:00 AM,1,506,522
120,4319703577,4/18/2016 12:00:00 AM,1,515,551
121,4319703577,4/19/2016 12:00:00 AM,2,461,498
122,4319703577,4/20/2016 12:00:00 AM,1,523,543
124,4319703577,4/22/2016 12:00:00 AM,1,533,550
125,4319703577,4/23/2016 12:00:00 AM,1,692,722
126,4319703577,4/24/2016 12:00:00 AM,1,467,501
127,4319703577,4/25/2016 12:00:00 AM,1,488,506
128,4319703577,4/26/2016 12:00:00 AM,1,505,516
129,4319703577,4/27/2016 12:00:00 AM,1,286,307
130,4319703577,4/28/2016 12:00:00 AM,1,497,522
131,4319703577,4/29/2016 12:00:00 AM,1,523,546
132,4319703577,4/30/2016 12:00:00 AM,1,490,516
133,4319703577,5/1/2016 12:00:00 AM,1,484,500
134,4319703577,5/2/2016 12:00:00 AM,1,478,506
135,4319703577,5/3/2016 12:00:00 AM,1,474,512
136,4319703577,5/6/2016 12:00:00 AM,1,450,491
137,4319703577,5/7/2016 12:00:00 AM,1,507,530
